Date,Open,High,Low,Close,Volume,Symbol
2022-12-27,25600.0,26300.0,25400.0,26300.0,4426300.0,TCB
2022-12-28,26100.0,26450.0,25750.0,26150.0,3298700.0,TCB
2022-12-29,26100.0,26300.0,25750.0,25950.0,2934700.0,TCB
2022-12-30,25950.0,26100.0,25850.0,25850.0,2181900.0,TCB
2022-10-03,25100.0,25100.0,23400.0,23850.0,1603200.0,TPB
2022-10-04,23900.0,24400.0,23750.0,23800.0,958200.0,TPB
2022-10-05,24000.0,24150.0,23750.0,24000.0,1213400.0,TPB
2022-10-06,23900.0,24200.0,23000.0,24000.0,3201100.0,TPB
2022-10-07,23050.0,23150.0,22350.0,22350.0,2059600.0,TPB
2022-10-10,20800.0,21700.0,20800.0,20800.0,2388400.0,TPB
2022-10-11,19350.0,20000.0,19350.0,19350.0,8998300.0,TPB
2022-10-12,18300.0,20500.0,18300.0,20500.0,4642600.0,TPB
2022-10-13,20500.0,20600.0,19700.0,20600.0,3781000.0,TPB
2022-10-14,20950.0,21050.0,20300.0,20600.0,2177800.0,TPB
2022-10-17,20100.0,20600.0,19400.0,20600.0,4157200.0,TPB
2022-10-18,20700.0,20950.0,20400.0,20600.0,2524400.0,TPB
2022-10-19,20700.0,20700.0,20050.0,20550.0,1715200.0,TPB
